[Info] computed dnn: 4.56102
[Info] computed smoothed radius: 9.12205
[Info] computed distance scale: 1.36831
[Info] optimal cdist threshold: 3.69119
[Info] in pruning removed clusters: 3
# Comment: curveID -1 represents noise
# x, y, z, curveID
107.981000,2.799900,64.000000,0
105.527000,1.450750,110.800000,0
105.527000,-1.450750,172.000000,0
103.073000,-2.799900,175.600000,0
34.357600,167.362000,175.600000,-1
100.619000,-7.050560,294.400000,0
41.720000,103.467000,298.000000,-1
98.164700,-5.701410,298.000000,0
49.082400,28.303800,308.800000,-1
39.265900,104.816000,308.800000,1
36.811800,128.970000,319.600000,-1
36.811800,100.565000,334.000000,1
34.357700,96.314300,362.800000,1
-147.247000,90.850000,373.600000,-1
31.903500,92.063700,388.000000,1
98.164700,-14.202700,424.000000,0
115.344000,24.053200,442.000000,2
115.344000,26.954700,442.000000,3
24.541200,82.213200,445.600000,1
110.435000,24.053200,445.600000,2
112.889000,22.704000,445.600000,2
107.981000,22.704000,449.200000,2
107.981000,19.802500,449.200000,2
120.252000,26.954700,449.200000,3
105.527000,18.453400,452.800000,2
103.073000,19.802500,452.800000,2
100.619000,18.453400,456.400000,2
-49.082400,28.303800,460.000000,-1
95.710600,15.551900,460.000000,2
24.541200,79.311700,460.000000,1
93.256500,14.202700,463.600000,2
90.802400,15.551900,463.600000,2
95.710600,-15.551900,463.600000,-1
88.348300,14.202700,467.200000,2
26.995300,75.061100,470.800000,1
120.252000,24.053200,478.000000,3
22.087100,75.061100,481.600000,1
24.541200,73.711900,481.600000,1
2.454100,52.458600,488.800000,-1
95.710600,-18.453400,488.800000,-1
24.541200,70.810400,496.000000,1
22.087100,69.461300,503.200000,1
22.087100,66.559800,514.000000,1
24.541200,65.210600,521.200000,1
24.541200,62.309100,535.600000,1
22.087100,60.959900,539.200000,1
117.798000,22.704000,542.800000,3
26.995300,60.959900,546.400000,1
22.087100,58.058400,553.600000,1
26.995300,58.058400,557.200000,1
24.541200,56.709300,560.800000,1
24.541200,53.807800,575.200000,1
26.995300,52.458600,582.400000,1
115.344000,9.952070,593.200000,-1
26.995300,49.557100,596.800000,1
24.541200,48.208000,600.400000,1
117.798000,19.802500,604.000000,3
29.449400,48.208000,607.600000,1
29.449400,45.306500,618.400000,1
26.995300,43.957300,622.000000,1
26.995300,41.055800,636.400000,1
31.903500,41.055800,643.600000,1
29.449400,39.706700,647.200000,1
29.449400,36.805200,658.000000,1
115.344000,18.453400,661.600000,3
31.903500,35.456000,668.800000,1
31.903500,32.554500,683.200000,1
34.357700,31.205300,694.000000,1
112.889000,19.802500,697.600000,3
34.357700,28.303800,708.400000,1
115.344000,15.551900,708.400000,3
36.811800,26.954700,719.200000,1
36.811800,24.053200,730.000000,1
34.357700,22.704000,730.000000,1
39.265900,22.704000,744.400000,1
112.889000,14.202700,751.600000,3
36.811800,18.453400,755.200000,1
39.265900,19.802500,758.800000,1
41.720000,18.453400,766.000000,1
110.435000,15.551900,769.600000,3
41.720000,15.551900,780.400000,1
39.265900,14.202700,780.400000,1
112.889000,11.301200,787.600000,3
44.174100,14.202700,794.800000,1
44.174100,11.301200,809.200000,1
46.628200,9.952070,820.000000,1
49.082400,11.301200,827.200000,1
46.628200,7.050560,834.400000,1
110.435000,9.952070,841.600000,3
107.981000,11.301200,848.800000,3
49.082400,5.701410,852.400000,1
51.536500,7.050560,856.000000,1
110.435000,7.050560,870.400000,3
53.990600,5.701410,870.400000,1
53.990600,2.799900,881.200000,1
105.527000,9.952070,892.000000,3
107.981000,5.701410,899.200000,3
56.444700,1.450750,899.200000,1
56.444700,-1.450750,902.800000,1
58.898800,-2.799900,917.200000,1
61.352900,-1.450750,924.400000,1
105.527000,7.050560,928.000000,3
63.807100,-2.799900,942.400000,1
63.807100,-5.701410,953.200000,1
103.073000,5.701410,953.200000,3
66.261200,-7.050560,971.200000,1
68.715300,-5.701410,978.400000,1
103.073000,2.799900,985.600000,3
71.169400,-7.050560,996.400000,1
71.169400,-9.952070,1003.600000,1
100.619000,1.450750,1014.400000,3
73.623500,-11.301200,1021.600000,1
76.077600,-9.952070,1028.800000,1
100.619000,-1.450750,1046.800000,3
78.531800,-11.301200,1054.000000,1
80.985900,-9.952070,1064.800000,1
83.440000,-11.301200,1075.600000,1
83.440000,-14.202700,1090.000000,1
98.164700,-2.799900,1104.400000,3
88.348300,-14.202700,1111.600000,1
93.256500,-14.202700,1147.600000,1;3
95.710600,-7.050560,1180.000000,3
95.710600,-9.952070,1201.600000,3
93.256500,-19.802500,1338.400000,3
