# x,y,z
107.981000,2.799900,64.000000
105.527000,1.450750,110.800000
104.300000,-2.125325,173.800000
104.300000,-2.125325,173.800000
34.357600,167.362000,175.600000
99.391850,-6.375985,296.200000
41.720000,103.467000,298.000000
99.391850,-6.375985,296.200000
49.082400,28.303800,308.800000
39.265900,104.816000,308.800000
36.811800,128.970000,319.600000
36.811800,100.565000,334.000000
34.357700,96.314300,362.800000
-147.247000,90.850000,373.600000
31.903500,92.063700,388.000000
98.164700,-14.202700,424.000000
113.503000,24.441275,443.800000
114.852800,24.943960,444.880000
24.541200,82.213200,445.600000
111.662333,23.378600,445.600000
111.662333,23.378600,445.600000
107.981000,21.253267,449.200000
107.981000,21.253267,449.200000
117.798000,26.954700,445.600000
105.036200,19.843160,452.080000
105.036200,19.843160,452.080000
101.232400,18.065300,455.500000
-49.082400,28.303800,460.000000
95.097125,15.939975,460.900000
24.541200,79.311700,460.000000
92.029450,14.877300,463.600000
92.029450,14.877300,463.600000
95.710600,-15.551900,463.600000
90.802400,14.652433,464.800000
26.995300,75.061100,470.800000
120.252000,24.053200,478.000000
23.314150,74.386500,481.600000
23.314150,74.386500,481.600000
2.454100,52.458600,488.800000
95.710600,-18.453400,488.800000
23.314150,70.135850,499.600000
23.314150,70.135850,499.600000
23.314150,65.885200,517.600000
23.314150,65.885200,517.600000
23.314150,61.634500,537.400000
24.541200,61.409633,540.400000
117.798000,22.704000,542.800000
24.541200,60.959900,542.800000
24.541200,57.608700,557.200000
24.541200,57.608700,557.200000
24.541200,57.608700,557.200000
25.768250,53.133200,578.800000
25.768250,53.133200,578.800000
115.344000,9.952070,593.200000
25.768250,48.882550,598.600000
26.995300,48.657700,601.600000
117.798000,19.802500,604.000000
26.995300,48.208000,604.000000
28.222350,44.631900,620.200000
28.222350,44.631900,620.200000
29.449400,41.055800,640.000000
29.449400,40.606100,642.400000
30.676450,40.381250,645.400000
29.449400,36.805200,658.000000
115.344000,18.453400,661.600000
31.903500,35.456000,668.800000
31.903500,32.554500,683.200000
34.357700,31.205300,694.000000
112.889000,19.802500,697.600000
34.357700,28.303800,708.400000
115.344000,15.551900,708.400000
36.811800,26.954700,719.200000
35.584750,23.378600,730.000000
35.584750,23.378600,730.000000
39.265900,22.704000,744.400000
112.889000,14.202700,751.600000
38.038850,19.127950,757.000000
39.265900,18.903100,760.000000
40.492950,19.127950,762.400000
110.435000,15.551900,769.600000
40.492950,14.877300,780.400000
40.492950,14.877300,780.400000
112.889000,11.301200,787.600000
44.174100,14.202700,794.800000
44.174100,11.301200,809.200000
47.855300,10.626635,823.600000
47.446267,9.434610,827.200000
47.855300,9.175880,830.800000
109.208000,10.626635,845.200000
109.208000,10.626635,845.200000
50.309450,6.375985,854.200000
50.309450,6.375985,854.200000
110.435000,7.050560,870.400000
53.990600,5.701410,870.400000
53.990600,2.799900,881.200000
106.754000,7.826740,895.600000
106.754000,7.826740,895.600000
56.444700,0.000000,901.000000
56.444700,0.000000,901.000000
60.125850,-2.125325,920.800000
60.125850,-2.125325,920.800000
105.527000,7.050560,928.000000
63.807100,-2.799900,942.400000
63.807100,-5.701410,953.200000
103.073000,5.701410,953.200000
67.488250,-6.375985,974.800000
67.488250,-6.375985,974.800000
103.073000,2.799900,985.600000
71.169400,-8.501315,1000.000000
71.169400,-8.501315,1000.000000
100.619000,1.450750,1014.400000
74.850550,-10.626635,1025.200000
74.850550,-10.626635,1025.200000
100.619000,-1.450750,1046.800000
78.531800,-11.301200,1054.000000
80.985900,-9.952070,1064.800000
83.440000,-11.301200,1075.600000
83.440000,-14.202700,1090.000000
98.164700,-2.799900,1104.400000
88.348300,-14.202700,1111.600000
93.256500,-14.202700,1147.600000
95.710600,-7.050560,1180.000000
95.710600,-9.952070,1201.600000
93.256500,-19.802500,1338.400000
